Name,Global_Sales
Call of Duty: Black Ops 3,14.24
FIFA 16,8.49
Star Wars Battlefront (2015),7.67
Fallout 4,6.96
Uncharted: The Nathan Drake Collection,4.47
NBA 2K16,3.85
Batman: Arkham Knight,3.79
The Witcher 3: Wild Hunt,3.73
Metal Gear Solid V: The Phantom Pain,3.38
